"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045841,0.007057,0,0,3.1233e-05,1,0.0055,0.00514,0.000771,0.005201
0.045841,0.0070935,0,0,3.1233e-05,1,0.0055214,0.00516,0.000774,0.005194
0.045841,0.00713,0,0,3.1236e-05,1,0.0055428,0.00518,0.000777,0.005187
0.045841,0.0071665,0,0,3.1243e-05,1,0.0055642,0.0052,0.00078,0.00518
0.045841,0.0072029,0,0,3.1208e-05,1,0.0055856,0.00522,0.000783,0.005173
0.045841,0.0072393,0,0,3.1174e-05,1,0.005607,0.00524,0.000786,0.005166
0.045841,0.0072756,0,0,3.1143e-05,1,0.0056284,0.00526,0.000789,0.005159
0.045842,0.0073118,0,0,3.1114e-05,1,0.0056498,0.00528,0.000792,0.005152
0.045842,0.0073479,0,0,3.1089e-05,1,0.0056712,0.0053,0.000795,0.005145
0.045842,0.007384,0,0,3.1074e-05,1,0.0056926,0.00532,0.000798,0.005138
0.045842,0.0074201,0,0,3.1058e-05,1,0.005714,0.00534,0.000801,0.005131
0.045842,0.0074562,0,0,3.1042e-05,1,0.0057355,0.00536,0.000804,0.005124
0.045842,0.0074922,0,0,3.1024e-05,1,0.0057569,0.00538,0.000807,0.005117
0.045842,0.0075281,0,0,3.1004e-05,1,0.0057783,0.0054,0.00081,0.00511
0.045842,0.0075641,0,0,3.1033e-05,1,0.0057997,0.00542,0.000813,0.005103
0.045842,0.0076007,0,0,3.1051e-05,1,0.0058211,0.00544,0.000816,0.005096
0.045842,0.0076378,0,0,3.1066e-05,1,0.0058425,0.00546,0.000819,0.005089
0.045842,0.0076749,0,0,3.1076e-05,1,0.0058639,0.00548,0.000822,0.005082
0.045843,0.0077118,0,0,3.1082e-05,1,0.0058853,0.0055,0.000825,0.005075
0.045843,0.0077488,0,0,3.108e-05,1,0.0059067,0.00552,0.000828,0.005068
0.045843,0.0077857,0,0,3.1078e-05,1,0.0059281,0.00554,0.000831,0.005061
0.045843,0.0078224,0,0,3.1076e-05,1,0.0059495,0.00556,0.000834,0.005054
0.045843,0.0078591,0,0,3.1073e-05,1,0.0059709,0.00558,0.000837,0.005047
0.045843,0.0078958,0,0,3.1068e-05,1,0.0059923,0.0056,0.00084,0.00504
0.045843,0.0079324,0,0,3.1078e-05,1,0.0060137,0.00562,0.000843,0.005033
0.045843,0.0079689,0,0,3.1089e-05,1,0.0060351,0.00564,0.000846,0.005026
0.045843,0.0080054,0,0,3.11e-05,1,0.0060565,0.00566,0.000849,0.005019
0.045843,0.0080418,0,0,3.1111e-05,1,0.0060779,0.00568,0.000852,0.005012
0.045843,0.0080781,0,0,3.1125e-05,1,0.0060993,0.0057,0.000855,0.005005
0.045844,0.0081147,0,0,3.1147e-05,1,0.0061207,0.00572,0.000858,0.004998
0.045844,0.0081522,0,0,3.1169e-05,1,0.0061421,0.00574,0.000861,0.004991
0.045844,0.0081897,0,0,3.1189e-05,1,0.0061635,0.00576,0.000864,0.004984
0.045844,0.008227,0,0,3.1208e-05,1,0.0061849,0.00578,0.000867,0.004977
0.045844,0.0082642,0,0,3.1226e-05,1,0.0062063,0.0058,0.00087,0.00497
0.045844,0.0083015,0,0,3.1207e-05,1,0.0062277,0.00582,0.000873,0.004963
0.045844,0.0083386,0,0,3.1191e-05,1,0.0062491,0.00584,0.000876,0.004956
0.045844,0.0083757,0,0,3.1176e-05,1,0.0062705,0.00586,0.000879,0.004949
0.045844,0.0084127,0,0,3.1162e-05,1,0.0062919,0.00588,0.000882,0.004942
